Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
rcads01_rcads_40,rcads01,,radio,I feel like I don't want to move,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_41,rcads01,,radio,I worry that I will suddenly get a scared feeling when there is nothing to be afraid of,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_42,rcads01,,radio,"I have to do some things over and over again (like washing my hands, cleaning or putting things in a certain order)","1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_43,rcads01,,radio,I feel afraid that I will make a fool of myself in front of people,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_44,rcads01,,radio,I have to do some things in just the right way to stop bad things from happening,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_45,rcads01,,radio,I worry when I go to bed at night,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_46,rcads01,,radio,I would feel scared if I had to stay away from home overnight,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
rcads01_rcads_47,rcads01,,radio,I feel restless,"1, Never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,,,,
mfq01_mfqc1_0_preamble,mfq01,,descriptive,"This form is about how you might have been feeling or acting recently. For each question, please select how you have been feeling in the past two weeks",,,,,,,,,,,,,
mfq01_mfqc1_1,mfq01,,radio, I felt miserable or unhappy     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc1_2,mfq01,,radio, I didn't enjoy anything at all     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc1_3,mfq01,,radio, I was less hungry than usual     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc1_4,mfq01,,radio, I ate more than usual     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc1_5,mfq01,,radio, I felt so tired I just sat around and did nothing     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc1_6,mfq01,,radio, I was moving and walking more slowly than usual     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc2_1,mfq01,,radio, I was very restless     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc2_2,mfq01,,radio, I felt I was no good anymore     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc2_3,mfq01,,radio, I sometimes blamed myself for things that were not my fault.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc2_4,mfq01,,radio, It was hard for me to make up my mind.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc2_5,mfq01,,radio, I felt grumpy and cross with my parents.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc2_6,mfq01,,radio, I felt like talking less than usual.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc3_1,mfq01,,radio, I was talking more slowly than usual.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc3_2,mfq01,,radio, I cried a lot.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc3_3,mfq01,,radio, I thought there was nothing good for me in the future.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc3_4,mfq01,,radio, I thought that life wasn't worth living.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc3_5,mfq01,,radio, I thought about death or dying.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc3_6,mfq01,,radio, I thought my family would be better off without me.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc4_1,mfq01,,radio, I thought about killing myself.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc4_2,mfq01,,radio, I didn't want to see my friends.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc4_3,mfq01,,radio, I found it hard to think properly or concentrate.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc4_4,mfq01,,radio, I thought bad things would happen to me.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc4_5,mfq01,,radio, I hated myself.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc4_6,mfq01,,radio, I felt I was a bad person.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc5_1,mfq01,,radio, I thought I looked ugly.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc5_2,mfq01,,radio, I was worried about aches and pains.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc5_3,mfq01,,radio, I felt lonely.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc5_4,mfq01,,radio, I thought nobody really loved me.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc5_5,mfq01,,radio, I didn't have any fun at school.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc6_1,mfq01,,radio, I thought I could never be as good as other kids.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc6_2,mfq01,,radio, I did everything wrong.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc6_3,mfq01,,radio, I didn't sleep as well as I usually sleep.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc6_4,mfq01,,radio, I slept a lot more than usual.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
mfq01_mfqc6_5,mfq01,,radio, I was not as happy as usual even when praised or rewarded.     ,"1, Not true | 2, Sometimes | 3, True",,,,,,,y,,,,,
nffi01_nffi_0_preamble,nffi01,,descriptive,"This is a personality test, it will help you understand why you act the way that you do and how your personality is structured. In the quesitons below, for each statement, please mark how much you agree with on the scale of 1-5, where 1 = strongly disagree, 2 = disagree, 3 = neutral, 4 = agree, and 5 = agree",,,,,,,,,,,,,
nffi01_nffi_1,nffi01,,radio,I am not a worrier.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_6,nffi01,,radio,I often feel inferior to others.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_11,nffi01,,radio,"When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_16,nffi01,,radio,I rarely feel lonely or blue.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_21,nffi01,,radio,I often feel tense and jittery.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_26,nffi01,,radio,Sometimes I feel completely worthless.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_31,nffi01,,radio,I rarely feel fearful or anxious.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_36,nffi01,,radio,I often get angry at the way people treat me.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_41,nffi01,,radio,"Too often when things go wrong,I get discouraged and feel like giving up.","1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_46,nffi01,,radio,I am seldom sad or depressed.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_51,nffi01,,radio,I often feel helpless and want someone else to solve my problems.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
nffi01_nffi_56,nffi01,,radio,At times I have been so ashamed I just want to hide.,"1, Not True | 2, | 3, | 4, Somewhat | 5, | 6, | 7, Very True",,,,,,,y,,,,,
shaps01_shaps0_preamble,shaps01,,descriptive,This questionnaire is designed to measure your ability to experience pleasure in the last few days.,,,,,,,,,,,,,
shaps01_shaps1,shaps01,,radio,I would enjoy my favorite television or radio program.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps2,shaps01,,radio,I would enjoy being with my family or close friends.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps3,shaps01,,radio,I would find pleasure in my hobbies and pastimes.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps4,shaps01,,radio,I would be able to enjoy my favorite meal.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps5,shaps01,,radio,I would enjoy a warm bath or refreshing shower.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps6,shaps01,,radio,I would find pleasure in the scent of flowers or the smell of a fresh sea breeze or freshly baked bread.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps7,shaps01,,radio,I would enjoy seeing other people's smiling faces.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps8,shaps01,,radio,I would enjoy looking smart when I have made an effort with my appearance.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps9,shaps01,,radio,"I would enjoy reading a book, magazine or newspaper.","1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps10,shaps01,,radio,I would enjoy a cup of tea or coffee or my favorite drink.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps11,shaps01,,radio,"I would find pleasure in small things, e.g. bright sunny day, a telephone call from a friend.","1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps12,shaps01,,radio,I would be able to enjoy a beautiful landscape or view.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps13,shaps01,,radio,I would get pleasure from helping others.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
shaps01_shaps14,shaps01,,radio,I would feel pleasure when I receive praise from other people.,"1, Strongly Disagree | 2, Disagree | 3, Agree | 4, Strongly agree",,,,,,,y,,,,,
rbqa01_rbqa0_preamble,rbqa01,,descriptive,In this questionnaire we are interested in whether certain events have happened to you in the past month. Please indicate how often the following events have happened to you in the past month. Please use the following scale: 1 =  Never; 2 = Almost never (1 time per month); 3 = Sometimes (2-4 times per month); 4 = Almost always (2-3 times per week); 5 = Always (4 or more times per week).,,,,,,,,,,,,,
rbqa01_rbqa1,rbqa01,,radio,Have you destroyed property (other than your own)?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa2,rbqa01,,radio,Have you been unfaithful to your boyfriend or girlfriend?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa3,rbqa01,,radio,Have you been in a physical fight?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa4,rbqa01,,radio,"Have you bullied, threatened, or intimidated a peer(s)?","1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa5,rbqa01,,radio,Have you been binge drinking and/or drinking to get drunk?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa6,rbqa01,,radio,Have you used illegal drugs?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa7,rbqa01,,radio,Have you sold illegal drugs?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa9,rbqa01,,radio,Have you cheated or plagiarized?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
rbqa01_rbqa10,rbqa01,,radio,Have you shoplifted?,"1, Never | 2, Almost Never| 3, Sometimes| 4, Almost Always | 5, Always",,,,,,,y,,,,,
